Time sec,Extension mm,Strain 1 %,Load N,Tensile stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Tensile extension mm,Tensile strain %,Displacement (Strain 1) mm,True strain %,Corrected Position mm,Tenacity gf/tex,True stress Pa
0,0.2651066,-0.008087836,306.6513,15.48744,0,0,0,0,0,-0.002021959,-0.008087835,-0.002021959,-0.008088162,0.2651066,312.6973,15486190
0.05,0.2708464,-0.008341081,414.3646,20.92751,0,0,0,0,0,-0.00208527,-0.008341081,-0.00208527,-0.008341428,0.2708464,422.5343,20925760
0.1,0.2724607,-0.006784185,458.7367,23.16852,0,0,0,0,0,-0.001696046,-0.006784185,-0.001696046,-0.006784415,0.2724607,467.7813,23166950
0.15,0.2726401,-0.006858247,464.9158,23.48059,0,0,0,0,0,-0.001714562,-0.006858247,-0.001714562,-0.006858482,0.2726401,474.0822,23478980
0.2,0.2726401,-0.007397388,463.0878,23.38827,0,0,0,0,0,-0.001849347,-0.007397388,-0.001849347,-0.007397662,0.2726401,472.2181,23386540
0.25,0.2726401,-0.00804085,462.0891,23.33783,0,0,0,0,0,-0.002010213,-0.00804085,-0.002010213,-0.008041173,0.2726401,471.1997,23335950
0.3,0.2726401,-0.007418888,461.133,23.28954,0,0,0,0,0,-0.001854722,-0.007418888,-0.001854722,-0.007419163,0.2726401,470.2248,23287820
0.35,0.2726401,-0.007367124,461.0644,23.28608,0,0,0,0,0,-0.001841781,-0.007367123,-0.001841781,-0.007367395,0.2726401,470.1549,23284370
0.4,0.2726401,-0.008068722,460.1906,23.24195,0,0,0,0,0,-0.00201718,-0.008068722,-0.00201718,-0.008069047,0.2726401,469.2638,23240070
0.45,0.2726999,-0.007117862,459.8792,23.22622,0,0,0,0,0,-0.001779465,-0.007117861,-0.001779465,-0.007118115,0.2726999,468.9463,23224570
0.5,0.2728792,-0.008114912,459.6986,23.2171,0,0,0,0,0,-0.002028728,-0.008114913,-0.002028728,-0.008115242,0.2728792,468.7621,23215220
0.55,0.2734173,-0.006753128,463.823,23.4254,0,0,0,0,0,-0.001688282,-0.006753128,-0.001688282,-0.006753356,0.2734173,472.9678,23423820
0.6,0.2742544,-0.007631519,474.9278,23.98625,0,0,0,0,0,-0.00190788,-0.007631519,-0.00190788,-0.007631811,0.2742544,484.2915,23984420
0.6500001,0.2750914,-0.007166441,487.5397,24.62322,0,0,0,0,0,-0.00179161,-0.007166442,-0.00179161,-0.007166698,0.2750914,497.1521,24621450
0.7000001,0.2759285,-0.006753923,498.637,25.18369,0,0,0,0,0,-0.001688481,-0.006753923,-0.001688481,-0.006754152,0.2759285,508.4682,25181990
0.7500001,0.2768851,-0.006574741,512.5779,25.88777,0,0,0,0,0,-0.001643685,-0.006574741,-0.001643685,-0.006574957,0.2768851,522.684,25886070
0.8,0.277782,-0.006413877,525.6457,26.54776,0,0,0,0,0,-0.001603469,-0.006413877,-0.001603469,-0.006414083,0.277782,536.0095,26546060
0.85,0.278619,-0.006087365,537.416,27.14222,0,0,0,0,0,-0.001521841,-0.006087365,-0.001521841,-0.00608755,0.278619,548.0118,27140570
0.9000001,0.2793963,-0.005991802,547.5916,27.65614,0,0,0,0,0,-0.001497951,-0.005991802,-0.001497951,-0.005991982,0.2793963,558.3881,27654490
0.9500001,0.2803529,-0.005612733,560.07,28.28636,0,0,0,0,0,-0.001403183,-0.005612733,-0.001403183,-0.00561289,0.2803529,571.1125,28284780
1,0.2812498,-0.005044925,573.9816,28.98897,0,0,0,0,0,-0.001261231,-0.005044925,-0.001261231,-0.005045052,0.2812498,585.2983,28987500
1.05,0.2820868,-0.004651521,585.9104,29.59143,0,0,0,0,0,-0.00116288,-0.00465152,-0.00116288,-0.004651628,0.2820868,597.4623,29590060
1.1,0.2829837,-0.004325011,598.5019,30.22737,0,0,0,0,0,-0.001081253,-0.004325011,-0.001081253,-0.004325105,0.2829837,610.3021,30226060
1.15,0.2838207,-0.004501006,610.2322,30.81981,0,0,0,0,0,-0.001125252,-0.004501006,-0.001125252,-0.004501107,0.2838207,622.2637,30818420
1.2,0.2847176,-0.005005107,622.662,31.44758,0,0,0,0,0,-0.001251277,-0.005005107,-0.001251277,-0.005005232,0.2847176,634.9385,31446000
1.25,0.2854948,-0.003933996,633.2325,31.98144,0,0,0,0,0,-0.000983499,-0.003933996,-0.000983499,-0.003934073,0.2854948,645.7175,31980180
1.3,0.2862721,-0.004169718,644.3369,32.54227,0,0,0,0,0,-0.00104243,-0.004169718,-0.00104243,-0.004169805,0.2862721,657.0408,32540910
1.35,0.2871091,-0.003183023,655.0723,33.08446,0,0,0,0,0,-0.000795756,-0.003183023,-0.000795756,-0.003183073,0.2871091,667.9879,33083410
1.4,0.2879462,-0.003382114,666.3623,33.65466,0,0,0,0,0,-0.000845529,-0.003382114,-0.000845529,-0.003382172,0.2879462,679.5005,33653520
1.45,0.2886637,-0.003093034,677.8314,34.23391,0,0,0,0,0,-0.000773258,-0.003093034,-0.000773258,-0.003093082,0.2886637,691.1956,34232850
