Time sec,Extension mm,Strain 1 %,Load N,Tensile stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Tensile extension mm,Tensile strain %,Displacement (Strain 1) mm,True strain %,Corrected Position mm,Tenacity gf/tex,True stress Pa
0,0.2095622,0.003298409,306.5478,15.99819,0,0,0,0,0,0.000824602,0.003298409,0.000824602,0.003298354,0.2095622,312.5917,15998720
0.05,0.2154215,0.005883409,409.599,21.37626,0,0,0,0,0,0.001470852,0.005883409,0.001470852,0.005883236,0.2154215,417.6747,21377510
0.1,0.2171554,0.006879662,459.429,23.9768,0,0,0,0,0,0.001719915,0.006879662,0.001719915,0.006879425,0.2171554,468.4872,23978450
0.15,0.2173348,0.008458057,468.4963,24.45,0,0,0,0,0,0.002114514,0.008458057,0.002114514,0.0084577,0.2173348,477.7333,24452070
0.2,0.2173348,0.007060438,465.7174,24.30498,0,0,0,0,0,0.001765109,0.007060437,0.001765109,0.007060188,0.2173348,474.8995,24306690
0.25,0.2172152,0.00819446,464.6278,24.24811,0,0,0,0,0,0.002048615,0.008194461,0.002048615,0.008194125,0.2172152,473.7885,24250100
0.3,0.2172152,0.007242009,463.5412,24.19141,0,0,0,0,0,0.001810502,0.007242009,0.001810502,0.007241747,0.2172152,472.6805,24193160
0.35,0.2172152,0.006467146,463.5459,24.19165,0,0,0,0,0,0.001616787,0.006467146,0.001616787,0.006466937,0.2172152,472.6853,24193220
0.4,0.2173348,0.007856803,462.5389,24.1391,0,0,0,0,0,0.001964201,0.007856803,0.001964201,0.007856494,0.2173348,471.6584,24141000
0.45,0.2173946,0.007122554,462.5585,24.14012,0,0,0,0,0,0.001780639,0.007122554,0.001780639,0.007122301,0.2173946,471.6784,24141840
0.5,0.2176338,0.007602763,462.2166,24.12228,0,0,0,0,0,0.001900691,0.007602763,0.001900691,0.007602474,0.2176338,471.3298,24124110
0.55,0.2181121,0.008050318,467.4525,24.39553,0,0,0,0,0,0.002012579,0.008050318,0.002012579,0.008049994,0.2181121,476.6689,24397490
0.6,0.2189491,0.007964312,476.7485,24.88067,0,0,0,0,0,0.001991078,0.007964312,0.001991078,0.007963995,0.2189491,486.1482,24882650
0.6500001,0.219846,0.008947027,490.8605,25.61716,0,0,0,0,0,0.002236757,0.008947028,0.002236757,0.008946628,0.219846,500.5385,25619450
0.7000001,0.2207428,0.007906178,504.2934,26.31819,0,0,0,0,0,0.001976545,0.007906178,0.001976545,0.007905865,0.2207428,514.2362,26320270
0.7500001,0.2216396,0.008596626,516.8438,26.97318,0,0,0,0,0,0.002149157,0.008596626,0.002149157,0.008596257,0.2216396,527.0341,26975500
0.8,0.2225365,0.009924166,529.2697,27.62166,0,0,0,0,0,0.002481041,0.009924166,0.002481041,0.009923674,0.2225365,539.705,27624400
0.85,0.2233735,0.007780351,541.9216,28.28194,0,0,0,0,0,0.001945088,0.007780351,0.001945088,0.007780049,0.2233735,552.6063,28284140
0.9000001,0.2242106,0.01033589,553.5403,28.8883,0,0,0,0,0,0.002583971,0.01033589,0.002583971,0.01033535,0.2242106,564.454,28891290
0.9500001,0.2249281,0.01040278,565.0919,29.49116,0,0,0,0,0,0.002600695,0.01040278,0.002600695,0.01040224,0.2249281,576.2334,29494230
1,0.2258249,0.009220179,575.8697,30.05363,0,0,0,0,0,0.002305045,0.009220178,0.002305045,0.009219753,0.2258249,587.2236,30056400
1.05,0.2267217,0.01016228,591.0451,30.84561,0,0,0,0,0,0.00254057,0.01016228,0.00254057,0.01016176,0.2267217,602.6983,30848750
1.1,0.2276186,0.01111234,603.1572,31.47772,0,0,0,0,0,0.002778086,0.01111234,0.002778086,0.01111173,0.2276186,615.0492,31481220
1.15,0.2284556,0.01128914,614.8624,32.0886,0,0,0,0,0,0.002822284,0.01128914,0.002822284,0.0112885,0.2284556,626.9852,32092220
1.2,0.2292927,0.01205285,626.7803,32.71057,0,0,0,0,0,0.003013212,0.01205285,0.003013212,0.01205212,0.2292927,639.1381,32714510
1.25,0.2301895,0.01170723,640.0217,33.40162,0,0,0,0,0,0.002926807,0.01170723,0.002926807,0.01170654,0.2301895,652.6405,33405520
1.3,0.2310266,0.01179961,651.8612,34.0195,0,0,0,0,0,0.002949901,0.01179961,0.002949901,0.01179891,0.2310266,664.7134,34023510
1.35,0.2318637,0.01347675,663.7278,34.63879,0,0,0,0,0,0.003369188,0.01347675,0.003369188,0.01347584,0.2318637,676.814,34643460
1.4,0.2326409,0.0124367,674.6618,35.20942,0,0,0,0,0,0.003109174,0.0124367,0.003109174,0.01243592,0.2326409,687.9636,35213800
1.45,0.233478,0.01283488,686.1245,35.80764,0,0,0,0,0,0.00320872,0.01283488,0.00320872,0.01283406,0.233478,699.6523,35812240
1.5,0.2342552,0.01372999,697.8474,36.41943,0,0,0,0,0,0.003432498,0.01372999,0.003432498,0.01372905,0.2342552,711.6063,36424440
1.55,0.2350325,0.01374114,708.7246,36.9871,0,0,0,0,0,0.003435286,0.01374114,0.003435286,0.0137402,0.2350325,722.6979,36992180
1.6,0.2358695,0.01308972,718.3719,37.49057,0,0,0,0,0,0.003272429,0.01308972,0.003272429,0.01308886,0.2358695,732.5355,37495480
1.65,0.2367664,0.01417357,731.9584,38.19963,0,0,0,0,0,0.003543393,0.01417357,0.003543393,0.01417257,0.2367664,746.3898,38205040
1.7,0.2376632,0.01572569,744.8726,38.8736,0,0,0,0,0,0.003931421,0.01572569,0.003931421,0.01572445,0.2376632,759.5587,38879710
1.75,0.2385003,0.01489906,756.7827,39.49517,0,0,0,0,0,0.003724765,0.01489906,0.003724765,0.01489795,0.2385003,771.7036,39501050
1.8,0.2393971,0.01560464,770.187,40.19471,0,0,0,0,0,0.003901159,0.01560464,0.003901159,0.01560342,0.2393971,785.3721,40200980
1.85,0.240294,0.01635322,782.7605,40.8509,0,0,0,0,0,0.004088305,0.01635322,0.004088305,0.01635188,0.240294,798.1936,40857580
1.9,0.241131,0.01552739,795.0948,41.49461,0,0,0,0,0,0.003881847,0.01552739,0.003881847,0.01552618,0.241131,810.771,41501050
1.95,0.2419083,0.0155903,807.6021,42.14734,0,0,0,0,0,0.003897575,0.0155903,0.003897575,0.01558909,0.2419083,823.5249,42153910
2,0.2426855,0.01658496,817.1738,42.64687,0,0,0,0,0,0.004146241,0.01658496,0.004146241,0.01658359,0.2426855,833.2854,42653950
2.05,0.2435226,0.01621784,829.6718,43.29912,0,0,0,0,0,0.00405446,0.01621784,0.00405446,0.01621653,0.2435226,846.0298,43306140
2.1,0.2443596,0.01730169,840.6003,43.86946,0,0,0,0,0,0.004325423,0.01730169,0.004325423,0.0173002,0.2443596,857.1738,43877050
2.15,0.2450771,0.01737735,851.5938,44.4432,0,0,0,0,0,0.004344336,0.01737734,0.004344336,0.01737583,0.2450771,868.384,44450920
2.2,0.2458544,0.01753184,861.0246,44.93537,0,0,0,0,0,0.00438296,0.01753184,0.00438296,0.0175303,0.2458544,878.0007,44943250
2.25,0.2467512,0.01754936,873.0019,45.56045,0,0,0,0,0,0.00438734,0.01754936,0.00438734,0.01754782,0.2467512,890.2142,45568440
2.3,0.2476481,0.01833219,884.8968,46.18122,0,0,0,0,0,0.004583047,0.01833219,0.004583047,0.01833051,0.2476481,902.3436,46189680
2.35,0.2484851,0.01932048,896.4366,46.78346,0,0,0,0,0,0.00483012,0.01932048,0.00483012,0.01931861,0.2484851,914.111,46792500
2.4,0.2493222,0.01840625,908.581,47.41726,0,0,0,0,0,0.004601562,0.01840625,0.004601562,0.01840456,0.2493222,926.4948,47425980
2.45,0.250219,0.01970592,920.6668,48.048,0,0,0,0,0,0.004926478,0.01970592,0.004926479,0.01970397,0.250219,938.8189,48057460
2.5,0.2511159,0.01999261,933.1272,48.69828,0,0,0,0,0,0.004998151,0.01999261,0.004998152,0.01999061,0.2511159,951.525,48708010
2.55,0.2519529,0.01866268,945.5523,49.34673,0,0,0,0,0,0.00466567,0.01866268,0.00466567,0.01866094,0.2519529,964.1951,49355930
2.6,0.2526704,0.02068704,955.388,49.86003,0,0,0,0,0,0.00517176,0.02068704,0.00517176,0.0206849,0.2526704,974.2247,49870350
2.65,0.2534477,0.02060103,966.1912,50.42383,0,0,0,0,0,0.005150258,0.02060103,0.005150258,0.02059891,0.2534477,985.2408,50434220
2.7,0.2542847,0.02055644,978.1882,51.04993,0,0,0,0,0,0.005139109,0.02055643,0.005139109,0.02055432,0.2542847,997.4744,51060430
2.75,0.255062,0.0206512,989.1395,51.62146,0,0,0,0,0,0.005162801,0.0206512,0.005162801,0.02064907,0.255062,1008.642,51632120
2.8,0.2558392,0.02100957,999.35,52.15433,0,0,0,0,0,0.005252392,0.02100957,0.005252392,0.02100736,0.2558392,1019.053,52165290
2.85,0.2566763,0.0223379,1010.496,52.73603,0,0,0,0,0,0.005584476,0.0223379,0.005584476,0.02233541,0.2566763,1030.419,52747820
2.9,0.2575731,0.02109239,1023.47,53.4131,0,0,0,0,0,0.005273097,0.02109239,0.005273097,0.02109017,0.2575731,1043.649,53424370
